Timestamp_S,Data
1.39404,8404465
1.40966,8404336
1.42528,8404463
1.44090,8404632
1.45652,8404338
1.47214,8404253
1.48775,8404556
1.49933,8404079
1.51495,8404281
1.53056,8404479
1.54618,8404514
1.56180,8404592
1.57742,8404481
1.59304,8404685
1.60492,8404396
1.62053,8404501
1.63615,8404441
1.65177,8404403
1.66739,8404784
1.68301,8404286
1.69863,8404698
1.70935,8404742
1.72496,8404660
1.74058,8404711
1.75620,8404807
1.77182,8404470
1.78744,8404325
1.79886,8404331
1.81448,8404507
1.83010,8404419
1.84571,8404386
1.86133,8404460
1.87695,8404742
1.89257,8404482
1.90512,8404420
1.92074,8404673
1.93636,8404721
1.95197,8404330
1.96759,8404451
1.98321,8404076
1.99883,8404276
2.00900,8404549
2.02462,8404397
2.04024,8404543
2.05585,8404816
2.07147,8404154
2.08709,8404826
2.10271,8405179
2.11416,8404701
2.12978,8404421
2.14540,8404518
2.16102,8404377
2.17664,8404494
2.19225,8404200
2.20520,8404466
2.22082,8404610
2.23644,8404301
2.25206,8404521
2.26767,8404767
2.28329,8404511
2.29891,8404201
2.30878,8404632
2.32439,8404581
2.34001,8404305
2.35563,8404187
2.37125,8404480
2.38687,8404231
2.40249,8404365
2.41388,8404501
2.42949,8404157
2.44511,8404681
2.46073,8403986
2.47635,8404289
2.49197,8404352
2.50759,8404307
2.52108,8404741
2.53670,8404372
2.55232,8404323
2.56794,8404607
2.58356,8404426
2.59918,8404065
2.60840,8404482
2.62402,8404197
2.63964,8404280
2.65525,8404487
2.67087,8404482
2.68649,8404542
2.70211,8404564
2.71350,8404346
2.72912,8404348
2.74474,8404583
2.76035,8404649
2.77597,8404574
2.79159,8404521
2.80721,8404520
2.82126,8404582
2.83687,8404513
2.85249,8404388
2.86811,8404655
2.88373,8404718
2.89935,8404418
2.91497,8404660
2.92373,8404332
2.93935,8404722
2.95497,8404916
2.97059,8404607
2.98621,8404535
3.00182,8404408
3.01321,8404499
3.02883,8404558
3.04445,8404546
3.06007,8404796
3.07569,8404723
3.09131,8404671
3.10693,8404298
3.12137,8404586
3.13699,8404407
3.15260,8404737
3.16822,8404432
3.18384,8404393
3.19946,8404348
3.21508,8404322
3.22366,8404306
3.23928,8404493
3.25490,8404534
3.27052,8404407
3.28613,8404514
3.30175,8404822
3.31737,8404466
3.32852,8404255
3.34414,8404659
3.35975,8404431
3.37537,8404483
3.39099,8404284
3.40661,8404478
3.41797,8404521
3.43359,8404442
3.44921,8404324
3.46482,8404353
3.48044,8404577
3.49606,8404430
3.51168,8404318
3.52383,8404312
3.53945,8404611
3.55507,8404269
3.57069,8404431
3.58631,8404516
3.60193,8404064
3.61754,8404922
3.62817,8404785
3.64379,8404669
3.65941,8404702
3.67503,8404339
3.69064,8404593
3.70626,8404371
3.72188,8404794
3.73330,8404389
3.74892,8404316
3.76454,8404563
3.78016,8404331
3.79578,8404449
3.81139,8404788
3.82413,8404384
3.83975,8404709
3.85536,8404325
3.87098,8404414
3.88660,8404630
3.90222,8404631
3.91784,8404295
3.92789,8404551
3.94350,8404606
3.95912,8404424
3.97474,8404284
3.99036,8404717
4.00598,8404594
4.02160,8404817
4.03299,8404665
4.04860,8404549
4.06422,8404387
4.07984,8404486
4.09546,8404145
4.11108,8404432
4.12670,8404454
4.13992,8403943
4.15554,8404295
4.17116,8404359
4.18677,8404196
4.20239,8404714
4.21801,8404525
4.22754,8404425
4.24316,8404531
4.25878,8404783
4.27439,8404666
4.29001,8404541
4.30563,8404395
4.32125,8404395
4.33264,8404319
4.34826,8404648
4.36388,8404395
4.37950,8404842
4.39511,8404617
4.41073,8404477
4.42635,8404197
4.44003,8404393
4.45565,8404551
4.47127,8404672
4.48689,8404677
4.50250,8404486
4.51812,8404533
4.53374,8404524
4.54287,8404629
4.55849,8404651
4.57411,8404174
4.58973,8404266
4.60535,8404371
4.62096,8404130
4.63235,8404292
4.64797,8404757
4.66359,8404347
4.67921,8404453
4.69483,8404585
4.71045,8404344
4.72607,8404662
4.74020,8404227
4.75582,8404521
4.77144,8404644
4.78706,8404487
4.80268,8404943
4.81829,8404422
4.83391,8404188
4.84265,8404543
4.85827,8404249
4.87389,8404635
4.88950,8404663
4.90512,8404395
4.92074,8404705
4.93636,8404559
4.94775,8404348
4.96337,8404439
4.97899,8404747
4.99460,8404691
5.01022,8404782
5.02584,8404568
5.04041,8404727
5.05602,8404400
5.07164,8404513
5.08726,8404508
5.10288,8404456
5.11850,8404502
5.13412,8403975
5.14273,8404153
5.15835,8404462
5.17397,8404285
