Timestamp_S,Data
1.40185,8408124
1.41747,8408133
1.43309,8408298
1.44871,8408273
1.46433,8408479
1.47994,8408471
1.49556,8408348
1.50714,8408636
1.52275,8408662
1.53837,8408352
1.55399,8408620
1.56961,8408365
1.58523,8408362
1.59711,8408693
1.61273,8408608
1.62834,8408254
1.64396,8408588
1.65958,8408165
1.67520,8408541
1.69082,8408386
1.70154,8408585
1.71715,8408331
1.73277,8408341
1.74839,8408314
1.76401,8408208
1.77963,8408498
1.79525,8408723
1.80667,8408282
1.82229,8408322
1.83790,8408537
1.85352,8408562
1.86914,8408269
1.88476,8408453
1.90038,8408318
1.91293,8408637
1.92855,8408447
1.94417,8408345
1.95978,8408321
1.97540,8408453
1.99102,8408789
2.00119,8408618
2.01681,8408720
2.03243,8408483
2.04805,8408205
2.06366,8408773
2.07928,8408486
2.09490,8408495
2.10635,8408138
2.12197,8408197
2.13759,8408785
2.15321,8408533
2.16883,8408609
2.18444,8408132
2.20006,8408318
2.21301,8407946
2.22863,8408613
2.24425,8408572
2.25986,8408399
2.27548,8408355
2.29110,8408509
2.30672,8408154
2.31658,8408546
2.33220,8408624
2.34782,8408216
2.36344,8408230
2.37906,8408157
2.39468,8408699
2.40607,8408120
2.42169,8408437
2.43730,8408529
2.45292,8408367
2.46854,8408449
2.48416,8408615
2.49978,8408731
2.51327,8408449
2.52889,8408354
2.54451,8408585
2.56013,8408194
2.57575,8408334
2.59137,8408284
2.60698,8408433
2.61621,8408445
2.63183,8408071
2.64744,8408274
2.66306,8408603
2.67868,8408652
2.69430,8408914
2.70992,8408374
2.72131,8408357
2.73693,8408498
2.75255,8408262
2.76816,8408651
2.78378,8408652
2.79940,8408858
2.81345,8408846
2.82906,8408720
2.84468,8408523
2.86030,8408719
2.87592,8408549
2.89154,8408741
2.90716,8408550
2.91592,8408655
2.93154,8408226
2.94716,8408294
2.96278,8408290
2.97840,8408544
2.99401,8408447
3.00963,8408542
3.02102,8408896
3.03664,8408108
3.05226,8408518
3.06788,8408583
3.08350,8408468
3.09912,8408459
3.11473,8408677
3.12918,8408341
3.14479,8408264
3.16041,8408192
3.17603,8408467
3.19165,8408307
3.20727,8408277
3.21585,8408520
3.23147,8408681
3.24709,8408500
3.26271,8407960
3.27832,8408468
3.29394,8408315
3.30956,8408454
3.32071,8408301
3.33633,8408530
3.35194,8408358
3.36756,8408568
3.38318,8408699
3.39880,8408404
3.41442,8408492
3.42578,8408494
3.44140,8408671
3.45701,8408493
3.47263,8408437
3.48825,8408519
3.50387,8408281
3.51949,8408464
3.53164,8408132
3.54726,8408116
3.56288,8408731
3.57850,8408425
3.59412,8408231
3.60973,8408621
3.62036,8407924
3.63598,8408540
3.65160,8408446
3.66722,8408486
3.68284,8408102
3.69845,8408739
3.71407,8408239
3.72549,8408323
3.74111,8408577
3.75673,8408520
3.77235,8408240
3.78797,8408466
3.80359,8408612
3.81920,8408339
3.83194,8408529
3.84755,8408646
3.86317,8408303
3.87879,8408454
3.89441,8408515
3.91003,8408578
3.92565,8408457
3.93569,8408097
3.95131,8408414
3.96693,8408198
3.98255,8408568
3.99817,8408472
4.01379,8408647
4.02518,8408261
4.04080,8408695
4.05641,8408378
4.07203,8408538
4.08765,8408619
4.10327,8408475
4.11889,8408562
4.13211,8408246
4.14773,8408278
4.16335,8408369
4.17896,8408616
4.19458,8408584
4.21020,8408465
4.22582,8408745
4.23535,8408458
4.25097,8408590
4.26659,8408413
4.28220,8408263
4.29782,8408101
4.31344,8408257
4.32906,8408523
4.34045,8408314
4.35607,8408310
4.37169,8408215
4.38730,8408321
4.40292,8408797
4.41854,8408239
4.43222,8408208
4.44784,8408204
4.46346,8408518
4.47908,8408449
4.49469,8408382
4.51031,8408369
4.52593,8408620
4.53506,8408471
4.55068,8408790
4.56630,8408594
4.58192,8408819
4.59754,8408050
4.61316,8408476
4.62877,8408215
4.64016,8408697
4.65578,8408545
4.67140,8408605
4.68702,8408704
4.70264,8408225
4.71826,8408471
4.73387,8408493
4.74801,8408166
4.76363,8408376
4.77925,8408572
4.79487,8408434
4.81049,8408671
4.82610,8408193
4.83484,8408463
4.85046,8408758
4.86608,8408429
4.88169,8408635
4.89731,8408899
4.91293,8408788
4.92855,8408243
4.93994,8408309
4.95556,8408066
4.97118,8408311
4.98680,8408721
5.00241,8408575
5.01803,8408301
5.03365,8408566
5.04821,8408522
5.06383,8408868
5.07945,8408664
5.09507,8408918
5.11069,8408578
5.12631,8408480
5.14193,8408584
5.15054,8408373
5.16616,8408535
5.18178,8408187
5.19739,8408369
5.21301,8408352
5.22863,8408661
5.23959,8408540
5.25521,8408496
5.27083,8407911
5.28645,8408712
5.30207,8408212
5.31769,8408178
5.33330,8408402
5.34472,8408539
5.36034,8408563
5.37596,8408202
5.39158,8408388
5.40720,8408737
5.42282,8408530
5.43844,8408266
5.45083,8408356
5.46645,8408428
5.48207,8408300
5.49769,8408502
5.51331,8408514
5.52893,8408506
5.54454,8408022
5.55496,8408108
5.57058,8408142
5.58619,8408219
5.60181,8408274
5.61743,8408470
5.63305,8408755
5.64438,8408198
5.66000,8408454
5.67562,8408685
5.69123,8408655
5.70685,8408570
5.72247,8408372
5.73809,8408122
5.75104,8408589
5.76665,8408724
5.78227,8408510
5.79789,8408634
5.81351,8408232
5.82913,8408577
5.84475,8408691
5.85464,8408694
5.87026,8408232
5.88588,8408736
5.90150,8408341
5.91712,8408430
5.93273,8408628
5.94835,8408354
5.95965,8408725
5.97527,8408481
5.99089,8408199
6.00651,8408285
6.02212,8408435
6.03774,8408662
6.05124,8408723
6.06686,8408596
6.08248,8408173
6.09809,8408727
6.11371,8408628
6.12933,8408285
6.14495,8408657
6.15426,8408805
6.16988,8408496
6.18550,8408398
6.20112,8408185
6.21674,8408243
6.23236,8408181
6.24798,8408501
6.25934,8408634
6.27495,8408473
6.29057,8408313
6.30619,8408480
6.32181,8408563
6.33743,8408566
6.35305,8408700
6.36700,8408441
6.38262,8408909
6.39824,8408506
6.41385,8408185
6.42947,8408572
6.44509,8408182
6.45398,8408530
6.46960,8408378
6.48522,8408144
6.50083,8408459
6.51645,8408283
6.53207,8408481
6.54769,8408539
6.55911,8408260
6.57473,8408468
6.59035,8408610
6.60597,8408241
6.62158,8408629
6.63720,8408117
6.65282,8408081
6.66720,8408481
6.68282,8408179
6.69844,8408452
6.71406,8408786
6.72968,8408626
6.74530,8408551
6.76091,8408838
6.76956,8408634
6.78518,8408698
6.80079,8408867
6.81641,8408677
6.83203,8408456
6.84765,8408193
6.85880,8408368
6.87441,8408586
6.89003,8408576
6.90565,8408313
6.92127,8408601
6.93689,8408705
6.95251,8408654
6.96411,8408477
6.97973,8408237
6.99535,8408654
7.01097,8408466
7.02658,8408120
7.04220,8408433
7.05782,8408267
7.06967,8408419
7.08529,8408491
7.10091,8408192
7.11652,8408367
7.13214,8408234
7.14776,8408327
7.16338,8407990
7.17401,8408337
7.18962,8408536
7.20524,8408616
7.22086,8408307
7.23648,8408462
7.25210,8408038
7.26349,8408506
7.27911,8408380
7.29473,8408474
7.31034,8408559
7.32596,8408320
7.34158,8408584
7.35720,8408351
7.36981,8408072
7.38543,8408590
7.40105,8408608
7.41667,8408396
7.43228,8408432
7.44790,8408326
7.46352,8408517
7.47372,8408630
7.48934,8408493
7.50496,8408302
7.52058,8408204
7.53620,8408043
7.55181,8408432
7.56743,8408532
7.57882,8408365
7.59444,8408134
7.61006,8408249
7.62568,8408437
7.64130,8408587
7.65691,8408473
7.67004,8408591
7.68566,8408704
7.70128,8408485
7.71690,8408535
7.73252,8408220
7.74814,8408537
7.76375,8408500
7.77344,8408303
7.78905,8408454
7.80467,8408100
7.82029,8408388
7.83591,8408410
7.85153,8408627
7.86715,8408992
7.87851,8409250
7.89412,8408323
7.90974,8408348
7.92536,8407992
7.94098,8408547
7.95660,8408618
7.97222,8408330
7.98577,8408804
8.00139,8408511
8.01701,8408621
8.03263,8408403
8.04825,8408678
8.06387,8408555
8.07309,8408246
8.08871,8408665
8.10433,8408285
8.11995,8408494
8.13556,8408420
8.15118,8408233
8.16680,8408521
8.17816,8408478
8.19378,8408542
8.20940,8408733
8.22502,8408226
8.24063,8408336
8.25625,8408720
8.27187,8408150
8.28595,8408197
8.30156,8408548
8.31718,8408423
8.33280,8408263
8.34842,8408523
8.36404,8408406
8.37966,8408533
8.38836,8408159
8.40398,8408527
8.41960,8408400
8.43522,8408525
8.45084,8408687
8.46645,8408588
8.47778,8408588
8.49340,8408421
8.50902,8408213
8.52464,8408242
8.54026,8408530
8.55588,8408175
8.57149,8408038
8.58606,8408329
8.60168,8408517
8.61729,8408576
8.63291,8408152
8.64853,8408364
8.66415,8408192
8.67977,8408250
8.68844,8407800
8.70406,8408154
8.71968,8408183
8.73530,8408400
8.75092,8408456
8.76654,8408719
8.78215,8408436
8.79318,8408448
8.80880,8408520
8.82441,8408621
8.84003,8408392
8.85565,8408381
8.87127,8408611
8.88263,8408297
8.89825,8408411
8.91387,8408224
8.92948,8408370
8.94510,8408682
8.96072,8408562
8.97634,8408386
8.98862,8408319
9.00423,8408756
9.01985,8408209
9.03547,8408706
9.05109,8408455
9.06671,8408775
9.08233,8408340
9.09286,8408319
9.10848,8408251
9.12410,8408468
9.13972,8408711
9.15534,8408243
9.17095,8408510
9.18657,8408547
9.19796,8408353
9.21358,8408456
9.22920,8408632
9.24482,8408438
9.26044,8408775
9.27606,8408702
9.28882,8408512
9.30444,8408113
9.32006,8408226
9.33567,8408594
9.35129,8408031
9.36691,8408576
9.38253,8408480
9.39242,8408520
9.40804,8408532
9.42366,8408491
9.43928,8408340
9.45490,8408734
9.47052,8408282
9.48613,8408192
9.49762,8408565
