TotalSeconds	OD-TurningStrainRaw0	OD-TurningStrainRaw1
0.4182739	6938303	8892961
0.4207739	6938384	8893103
0.4228003	6938440	8893259
0.4253003	6938483	8893426
0.4278003	6938531	8893605
0.4303003	6938604	8893793
0.4328003	6938713	8893983
0.4353003	6938851	8894156
0.4378003	6939003	8894296
0.4403003	6939152	8894394
0.4428003	6939283	8894448
0.4453003	6939395	8894470
0.4478003	6939506	8894486
0.4503003	6939646	8894533
0.4528003	6939840	8894640
0.4553003	6940093	8894817
0.4578003	6940384	8895046
0.4603003	6940658	8895284
0.4628003	6940849	8895470
0.4653003	6940890	8895542
0.4678003	6940737	8895451
0.4703003	6940382	8895178
0.4728003	6939863	8894741
0.4753003	6939249	8894192
0.4778003	6938624	8893599
0.4803003	6938069	8893036
0.4828003	6937643	8892568
0.4853003	6937383	8892243
0.4878003	6937295	8892083
0.4903003	6937360	8892083
0.4928003	6937542	8892212
0.4953003	6937795	8892424
0.4978003	6938064	8892664
0.5003003	6938295	8892871
0.5028003	6938442	8892995
0.5053003	6938478	8893010
0.5078003	6938395	8892913
0.5103003	6938211	8892724
0.5128003	6937961	8892482
0.5153003	6937692	8892230
0.5178003	6937448	8892009
0.5203003	6937268	8891850
0.5228003	6937171	8891770
0.5253003	6937162	8891772
0.5278003	6937229	8891847
0.5303003	6937353	8891979
0.5328003	6937505	8892145
0.5353003	6937657	8892315
0.5378003	6937780	8892458
0.5403003	6937854	8892551
0.5428003	6937872	8892579
0.5453003	6937839	8892545
0.5478003	6937776	8892465
0.5503003	6937707	8892363
0.5528003	6937651	8892264
0.5553003	6937614	8892177
0.5578003	6937582	8892094
0.5603003	6937526	8891996
0.5623267	6937413	8891854
0.5648267	6937223	8891653
0.5673267	6936953	8891388
0.5698267	6936623	8891073
0.5723267	6936278	8890745
0.5748267	6935982	8890454
0.5773267	6935797	8890252
0.5798267	6935771	8890186
0.5823267	6935934	8890288
0.5848267	6936289	8890577
0.5873267	6936813	8891044
0.5898267	6937457	8891657
0.5923267	6938155	8892359
0.5948267	6938831	8893076
0.5973267	6939414	8893727
0.5998267	6939849	8894243
0.6023267	6940102	8894575
0.6048267	6940174	8894711
0.6073267	6940098	8894676
0.6098267	6939922	8894523
0.6123267	6939700	8894310
0.6148267	6939477	8894091
0.6173267	6939277	8893898
0.6198267	6939108	8893741
0.6223267	6938960	8893610
0.6248267	6938818	8893488
0.6273267	6938677	8893365
0.6298267	6938545	8893245
0.6323267	6938443	8893143
0.6348267	6938393	8893078
0.6373267	6938415	8893069
0.6398267	6938522	8893128
